id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3,<unk>,0
4, ,2067671
5,이,258600
6,어,184037
7,는,157883
8,가,154359
9,서,141671
10,에,138013
11,아,122975
12,고,122001
13,하,115732
14,나,105900
15,을,103473
16,해,91618
17,지,87730
18,사,86105
19,다,79116
20,데,73942
21,를,66090
22,들,65889
23,무,64816
24,기,64046
25,내,63593
26,자,59141
27,게,54002
28,은,53760
29,도,52504
30,로,48889
31,한,47628
32,야,46325
33,너,45036
34,있,44685
35,했,42211
36,구,42118
37,일,40917
38,친,40318
39,리,37558
40,정,36860
41,만,36361
42,직,35777
43,보,35667
44,안,35295
45,회,34485
46,라,34392
47,같,34095
48,요,32032
49,니,32005
50,장,30841
51,것,30094
52,오,29904
53,면,29489
54,대,29076
55,부,28741
56,스,28668
57,시,27968
58,생,27391
59,마,26496
60,제,25831
61,남,25811
62,혼,25424
63,업,25114
64,까,24563
65,상,23953
66,말,23677
67,인,23672
68,좋,23579
69,주,23163
70,할,23152
71,었,22944
72,없,22616
73,수,22212
74,으,21692
75,의,21421
76,그,21269
77,거,20926
78,결,20882
79,많,20576
80,원,20419
81,우,20264
82,려,20264
83,않,20084
84,러,20079
85,비,19910
86,모,19546
87,때,19272
88,워,19137
89,동,18336
90,더,17919
91,건,17914
92,퇴,17884
93,받,17748
94,신,17581
95,즘,17545
96,번,17288
97,네,17236
98,여,17050
99,았,16997
100,식,16953
101,편,16933
102,못,16521
103,화,16357
104,되,16179
105,늘,16178
106,전,16066
107,후,15821
108,음,15559
109,금,15197
110,취,15048
111,진,14930
112,람,14892
113,심,14652
114,연,14487
115,먹,14131
116,문,14127
117,잘,14026
118,준,13685
119,싶,13540
120,과,13369
121,강,13048
122,당,12756
123,히,12364
124,던,12322
125,집,12233
126,와,12164
127,트,12159
128,랑,12159
129,분,12124
130,겠,12017
131,노,11996
132,각,11815
133,근,11478
134,난,11261
135,래,10938
136,적,10881
137,걱,10746
138,소,10667
139,님,10666
140,힘,10550
141,중,10424
142,실,10134
143,간,10106
144,속,9889
145,르,9787
146,계,9678
147,돼,9672
148,성,9474
149,미,9463
150,불,9428
151,행,9345
152,운,9242
153,감,8668
154,년,8658
155,봐,8525
156,걸,8480
157,왔,8306
158,드,8297
159,치,8228
160,조,8100
161,날,7999
162,저,7886
163,살,7879
164,달,7856
165,입,7770
166,져,7743
167,공,7709
168,관,7685
169,병,7626
170,두,7613
171,테,7523
172,애,7508
173,돈,7490
174,느,7319
175,학,7230
176,배,7130
177,프,7061
178,처,7004
179,출,6951
180,유,6901
181,버,6778
182,레,6724
183,알,6652
184,울,6587
185,갑,6565
186,격,6518
187,증,6432
188,슬,6371
189,예,6363
190,황,6289
191,꾸,6257
192,짜,6222
193,매,6220
194,바,6210
195,졌,6208
196,락,6037
197,위,6004
198,새,5959
199,터,5893
200,료,5857
201,작,5836
202,경,5796
203,족,5737
204,접,5709
205,른,5697
206,물,5621
207,교,5591
208,영,5573
209,재,5567
210,열,5433
211,선,5412
212,질,5395
213,몸,5325
214,줄,5273
215,산,5244
216,빠,5210
217,디,5191
218,통,5173
219,검,5110
220,피,5091
221,든,5076
222,술,5025
223,약,4961
224,났,4958
225,얼,4938
226,방,4903
227,큰,4876
228,겨,4861
229,엄,4851
230,임,4822
231,된,4799
232,올,4774
233,갔,4730
234,외,4646
235,온,4589
236,파,4575
237,렸,4571
238,명,4559
239,세,4558
240,셔,4540
241,점,4475
242,됐,4468
243,국,4412
244,딸,4400
245,절,4370
246,맛,4370
247,최,4366
248,떻,4287
249,팀,4258
250,급,4222
251,런,4188
252,활,4125
253,떨,4115
254,력,4099
255,망,4075
256,단,4025
257,막,3997
258,퍼,3980
259,웠,3931
260,십,3914
261,별,3895
262,용,3867
263,합,3863
264,발,3863
265,렇,3825
266,차,3797
267,책,3696
268,봤,3688
269,께,3599
270,체,3547
271,복,3507
272,왜,3503
273,될,3482
274,승,3476
275,개,3461
276,벌,3424
277,녀,3381
278,싸,3365
279,좀,3351
280,험,3333
281,눈,3327
282,민,3304
283,반,3291
284,언,3261
285,돌,3251
286,셨,3237
287,또,3181
288,코,3144
289,갈,3132
290,겼,3117
291,길,3097
292,머,3085
293,며,3050
294,럽,3038
295,앞,3037
296,억,3016
297,변,2966
298,참,2965
299,뻐,2920
300,크,2907
301,써,2889
302,뭐,2847
303,침,2831
304,싫,2816
305,양,2792
306,곳,2788
307,헤,2771
308,밥,2760
309,종,2745
310,맞,2712
311,청,2711
312,항,2701
313,몰,2695
314,월,2629
315,등,2560
316,투,2472
317,줬,2467
318,초,2465
319,놓,2465
320,쓰,2460
321,설,2450
322,란,2450
323,키,2436
324,담,2430
325,육,2402
